iter	Passed	Remaining
839	17443	3322
840	17463	3301
841	17482	3280
842	17500	3259
843	17518	3238
844	17536	3216
845	17555	3195
846	17575	3174
847	17595	3153
848	17615	3133
849	17637	3112
850	17655	3091
851	17679	3071
852	17698	3050
853	17716	3028
854	17738	3008
855	17757	2987
856	17778	2966
857	17800	2945
858	17822	2925
859	17840	2904
860	17861	2883
861	17884	2863
862	17907	2842
863	17927	2821
864	17946	2800
865	17967	2780
866	17989	2759
867	18008	2738
868	18028	2717
869	18047	2696
870	18066	2675
871	18087	2655
872	18107	2634
873	18125	2613
874	18146	2592
875	18166	2571
876	18187	2550
877	18209	2530
878	18227	2509
879	18250	2488
880	18269	2467
881	18288	2446
882	18307	2425
883	18328	2405
884	18346	2383
885	18365	2363
886	18385	2342
887	18406	2321
888	18425	2300
889	18443	2279
890	18464	2258
891	18484	2238
892	18503	2217
893	18526	2196
894	18545	2175
895	18566	2155
896	18588	2134
897	18606	2113
898	18623	2092
899	18643	2071
900	18665	2050
901	18684	2030
902	18703	2009
903	18724	1988
904	18743	1967
905	18762	1946
906	18784	1926
907	18804	1905
908	18825	1884
909	18844	1863
910	18861	1842
911	18881	1821
912	18900	1801
913	18919	1780
914	18938	1759
915	18960	1738
916	18977	1717
917	18999	1697
918	19017	1676
919	19037	1655
920	19057	1634
921	19077	1613
922	19097	1593
923	19116	1572
924	19136	1551
925	19156	1530
926	19176	1510
927	19197	1489
928	19214	1468
929	19235	1447
930	19253	1426
931	19274	1406
932	19297	1385
933	19316	1364
934	19337	1344
935	19355	1323
936	19377	1302
937	19400	1282
938	19418	1261
939	19434	1240
940	19454	1219
941	19476	1199
942	19495	1178
943	19516	1157
944	19537	1137
945	19555	1116
946	19576	1095
947	19597	1074
948	19615	1054
949	19635	1033
950	19655	1012
951	19678	992
952	19699	971
953	19721	950
954	19741	930
955	19762	909
956	19782	888
957	19800	868
958	19820	847
959	19841	826
960	19864	806
961	19883	785
962	19901	764
963	19920	743
964	19940	723
965	19960	702
966	19982	681
967	20002	661
968	20021	640
969	20041	619
970	20063	599
971	20083	578
972	20103	557
973	20123	537
974	20143	516
975	20163	495
976	20184	475
977	20205	454
978	20224	433
979	20243	413
980	20263	392
981	20285	371
982	20304	351
983	20321	330
984	20340	309
985	20363	289
986	20381	268
987	20405	247
988	20424	227
989	20444	206
990	20461	185
991	20480	165
992	20499	144
993	20517	123
994	20537	103
995	20558	82
996	20579	61
997	20598	41
998	20618	20
999	20639	0
